City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Boralday,KZ,2021-04-10 03:03:34,43.3578,76.8594,286.15,50,36,1.0
235,Mount Isa,AU,2021-04-10 02:58:41,-20.7333,139.5,307.15,16,11,3.09
236,Alindao,CF,2021-04-10 03:03:35,5.0267,21.2088,294.96,84,95,1.28
237,Ngunguru,NZ,2021-04-10 03:03:35,-35.6167,174.5,293.15,97,100,7.6
238,Cam Ranh,VN,2021-04-10 02:58:43,11.9214,109.1591,302.15,74,40,4.12
239,Whitianga,NZ,2021-04-10 03:03:35,-36.8333,175.7,291.48,97,100,6.26
240,Pacific Grove,US,2021-04-10 02:59:11,36.6177,-121.9166,283.71,82,0,0.89
241,Pevek,RU,2021-04-10 02:57:41,69.7008,170.3133,252.49,85,46,1.18
242,Peniche,PT,2021-04-10 03:03:36,39.3558,-9.3811,288.15,88,99,3.13
243,Ocos,GT,2021-04-10 03:03:36,14.5094,-92.1933,299.15,83,20,3.35
244,Hithadhoo,MV,2021-04-10 02:57:46,-0.6,73.0833,301.39,70,4,3.97
245,Dalbandin,PK,2021-04-10 02:58:30,28.8947,64.4101,298.08,11,1,1.73
246,Malazgirt,TR,2021-04-10 03:03:37,39.1427,42.5401,281.63,69,13,1.92
247,Baruun-Urt,MN,2021-04-10 03:02:19,46.6806,113.2792,279.62,30,100,6.34
248,Katsuura,JP,2021-04-10 02:58:55,35.1333,140.3,287.59,57,99,1.34
249,Lebu,CL,2021-04-10 02:57:43,-37.6167,-73.65,285.28,83,78,6.41
250,Batticaloa,LK,2021-04-10 03:03:37,7.7102,81.6924,301.18,70,4,3.02
251,Airai,TL,2021-04-10 02:58:51,-8.9266,125.4092,296.52,49,8,1.35
252,Kieta,PG,2021-04-10 03:02:12,-6.2167,155.6333,301.64,78,40,2.69
253,Souillac,MU,2021-04-10 02:57:17,-20.5167,57.5167,298.76,80,100,5.23
254,Grants,US,2021-04-10 03:03:38,35.1473,-107.8514,283.15,10,1,4.63
255,Guru Har Sahai,IN,2021-04-10 03:03:38,30.7167,74.4167,300.2,14,59,2.05
256,Koulikoro,ML,2021-04-10 03:03:38,14.0,-7.75,298.91,10,0,3.54
257,Gladstone,AU,2021-04-10 02:58:02,-23.85,151.25,304.15,33,0,2.57
258,Portland,US,2021-04-10 02:57:33,45.5234,-122.6762,283.71,56,37,0.45
259,Edd,ER,2021-04-10 03:03:39,13.9297,41.6925,302.94,28,86,8.11
260,Miri,MY,2021-04-10 03:03:39,4.4148,114.0089,304.15,70,40,2.06
261,Nenjiang,CN,2021-04-10 02:59:34,49.1833,125.2167,289.02,24,72,11.05
262,Lenoir City,US,2021-04-10 03:03:39,35.7973,-84.256,291.48,82,34,1.93
263,Sao Jose Da Coroa Grande,BR,2021-04-10 03:03:40,-8.8978,-35.1478,298.49,84,80,3.93
264,Ballina,AU,2021-04-10 02:58:08,-28.8667,153.5667,304.15,35,4,6.69
265,Soe,ID,2021-04-10 02:58:24,-9.8607,124.284,298.78,58,87,2.14
